1.05E+00,-9.49E-02,2.32E+00
1.87E+00,-2.00E-01,3.00E+00
2.76E+00,-3.46E-01,3.44E+00
3.56E+00,-5.37E-01,3.72E+00
4.40E+00,-8.14E-01,3.95E+00
5.20E+00,-1.17E+00,4.11E+00
5.89E+00,-1.57E+00,4.23E+00
6.65E+00,-2.13E+00,4.35E+00
7.24E+00,-2.65E+00,4.43E+00
7.77E+00,-3.27E+00,4.25E+00
8.21E+00,-3.95E+00,4.33E+00
8.56E+00,-4.70E+00,4.41E+00
8.81E+00,-5.50E+00,4.48E+00
8.97E+00,-6.30E+00,4.54E+00
9.04E+00,-7.11E+00,4.58E+00
9.01E+00,-7.92E+00,4.49E+00
8.86E+00,-8.76E+00,4.54E+00
8.60E+00,-9.54E+00,4.58E+00
8.23E+00,-1.03E+01,4.24E+00
7.76E+00,-1.11E+01,4.12E+00
7.34E+00,-1.18E+01,4.25E+00
6.97E+00,-1.24E+01,4.35E+00
6.65E+00,-1.32E+01,4.44E+00
6.38E+00,-1.39E+01,4.50E+00
6.16E+00,-1.47E+01,4.56E+00
6.03E+00,-1.56E+01,4.61E+00
5.97E+00,-1.64E+01,4.65E+00
5.97E+00,-1.72E+01,4.69E+00
6.04E+00,-1.81E+01,4.72E+00
6.18E+00,-1.90E+01,4.51E+00
6.33E+00,-1.98E+01,4.58E+00
6.48E+00,-2.06E+01,4.51E+00
6.59E+00,-2.14E+01,4.05E+00
6.56E+00,-2.23E+01,3.90E+00
6.26E+00,-2.31E+01,3.77E+00
5.66E+00,-2.37E+01,3.51E+00
4.87E+00,-2.36E+01,2.96E+00
4.52E+00,-2.30E+01,2.67E+00
4.21E+00,-2.22E+01,2.55E+00
3.59E+00,-2.17E+01,2.64E+00
3.00E+00,-2.12E+01,3.06E+00
2.53E+00,-2.04E+01,3.42E+00
2.30E+00,-1.96E+01,3.66E+00
2.14E+00,-1.88E+01,3.92E+00
2.04E+00,-1.80E+01,4.10E+00
1.92E+00,-1.71E+01,4.26E+00
1.82E+00,-1.63E+01,4.37E+00
1.70E+00,-1.55E+01,4.33E+00
1.54E+00,-1.47E+01,4.15E+00
1.31E+00,-1.40E+01,4.24E+00
9.66E-01,-1.33E+01,4.19E+00
4.50E-01,-1.27E+01,4.29E+00
-2.34E-01,-1.20E+01,3.77E+00
-8.50E-01,-1.14E+01,3.83E+00
-1.36E+00,-1.07E+01,4.01E+00
-1.71E+00,-9.83E+00,4.16E+00
-1.88E+00,-8.92E+00,4.28E+00
-1.88E+00,-8.12E+00,4.22E+00
-1.70E+00,-7.38E+00,4.04E+00
-1.25E+00,-6.63E+00,3.77E+00
-7.53E-01,-6.01E+00,3.54E+00
-4.46E-01,-5.26E+00,3.44E+00
-7.02E-01,-4.52E+00,2.98E+00
-1.43E+00,-4.32E+00,2.53E+00
-1.98E+00,-4.86E+00,2.51E+00
-2.61E+00,-5.39E+00,2.48E+00
-3.43E+00,-5.39E+00,2.83E+00
-4.22E+00,-5.22E+00,2.95E+00
-4.90E+00,-4.67E+00,2.89E+00
-5.03E+00,-3.92E+00,3.00E+00
-4.73E+00,-3.20E+00,3.01E+00
-4.24E+00,-2.49E+00,3.38E+00
-3.66E+00,-1.87E+00,3.67E+00
-2.98E+00,-1.34E+00,3.89E+00
-2.33E+00,-9.59E-01,4.05E+00
-1.50E+00,-6.05E-01,4.20E+00
-7.23E-01,-3.77E-01,4.31E+00
8.80E-02,-2.23E-01,4.40E+00
